,time,BBDC4,GGBR4,MGLU3
292,2022-03-22T14:00:00-03:00,21.91,30.14,5.77
293,2022-03-22T15:00:00-03:00,21.87,29.78,5.76
294,2022-03-22T16:00:00-03:00,21.87,29.88,5.81
296,2022-03-23T10:00:00-03:00,21.74,30.42,5.78
297,2022-03-23T11:00:00-03:00,21.75,30.5,5.95
298,2022-03-23T12:00:00-03:00,21.68,30.64,6.01
299,2022-03-23T13:00:00-03:00,21.66,30.36,5.98
300,2022-03-23T14:00:00-03:00,21.77,30.21,5.95
301,2022-03-23T15:00:00-03:00,21.72,29.93,5.95
302,2022-03-23T16:00:00-03:00,21.68,29.92,6.0
304,2022-03-24T10:00:00-03:00,21.99,29.73,6.1
305,2022-03-24T11:00:00-03:00,22.12,29.7,6.18
306,2022-03-24T12:00:00-03:00,22.19,30.45,6.32
307,2022-03-24T13:00:00-03:00,22.13,30.46,6.45
308,2022-03-24T14:00:00-03:00,21.99,30.56,6.55
309,2022-03-24T15:00:00-03:00,21.96,30.8,6.5
310,2022-03-24T16:00:00-03:00,22.02,30.94,6.57
314,2022-03-25T10:00:00-03:00,22.22,30.11,6.48
315,2022-03-25T11:00:00-03:00,22.28,30.17,6.52
316,2022-03-25T12:00:00-03:00,22.37,29.94,6.39
317,2022-03-25T13:00:00-03:00,22.31,30.64,6.49
318,2022-03-25T14:00:00-03:00,22.29,29.92,6.47
319,2022-03-25T15:00:00-03:00,22.28,30.47,6.55
320,2022-03-25T16:00:00-03:00,22.32,30.56,6.51
323,2022-03-28T09:00:00-03:00,22.3,29.87,6.56
324,2022-03-28T10:00:00-03:00,22.13,29.98,6.58
325,2022-03-28T11:00:00-03:00,22.15,30.02,6.54
326,2022-03-28T12:00:00-03:00,22.08,30.13,6.5
327,2022-03-28T13:00:00-03:00,22.09,30.51,6.51
328,2022-03-28T14:00:00-03:00,22.07,30.07,6.46
329,2022-03-28T15:00:00-03:00,22.18,30.66,6.53
330,2022-03-28T16:00:00-03:00,22.08,30.56,6.47
335,2022-03-29T10:00:00-03:00,22.54,29.34,6.97
336,2022-03-29T11:00:00-03:00,22.62,29.39,7.0
337,2022-03-29T12:00:00-03:00,22.61,29.38,7.04
338,2022-03-29T13:00:00-03:00,22.55,29.84,7.09
339,2022-03-29T14:00:00-03:00,22.62,29.91,7.04
340,2022-03-29T15:00:00-03:00,22.56,29.91,7.02
341,2022-03-29T16:00:00-03:00,22.59,29.99,7.0
346,2022-03-30T10:00:00-03:00,22.42,30.19,6.94
347,2022-03-30T11:00:00-03:00,22.29,30.03,6.99
348,2022-03-30T12:00:00-03:00,22.36,30.07,6.98
349,2022-03-30T13:00:00-03:00,22.31,30.72,6.98
350,2022-03-30T14:00:00-03:00,22.27,30.31,6.94
351,2022-03-30T15:00:00-03:00,22.38,30.59,6.96
352,2022-03-30T16:00:00-03:00,22.41,30.76,6.87
357,2022-03-31T10:00:00-03:00,22.5,30.24,6.86
358,2022-03-31T11:00:00-03:00,22.33,30.28,6.9
359,2022-03-31T12:00:00-03:00,22.26,30.42,6.89
360,2022-03-31T13:00:00-03:00,22.24,30.77,6.83
361,2022-03-31T14:00:00-03:00,22.28,30.82,6.85
362,2022-03-31T15:00:00-03:00,22.32,30.95,6.81
363,2022-03-31T16:00:00-03:00,22.18,30.72,6.85
364,2022-03-31T17:00:00-03:00,22.22,30.81,6.82
368,2022-04-01T10:00:00-03:00,22.24,30.04,7.01
369,2022-04-01T11:00:00-03:00,22.05,29.86,7.23
370,2022-04-01T12:00:00-03:00,22.11,29.81,7.29
371,2022-04-01T13:00:00-03:00,22.02,30.56,7.28
372,2022-04-01T14:00:00-03:00,22.04,30.12,7.24
373,2022-04-01T15:00:00-03:00,21.93,30.35,7.29
374,2022-04-01T16:00:00-03:00,21.97,30.54,7.36
375,2022-04-01T17:00:00-03:00,21.98,30.64,7.35
379,2022-04-04T10:00:00-03:00,21.74,29.74,7.14
380,2022-04-04T11:00:00-03:00,21.71,29.67,7.19
381,2022-04-04T12:00:00-03:00,21.77,29.68,7.13
382,2022-04-04T13:00:00-03:00,21.82,30.27,7.16
383,2022-04-04T14:00:00-03:00,21.78,30.19,7.19
384,2022-04-04T15:00:00-03:00,21.92,30.21,7.25
385,2022-04-04T16:00:00-03:00,21.87,30.2,7.17
390,2022-04-05T10:00:00-03:00,21.53,30.02,7.22
395,2022-04-05T16:00:00-03:00,21.25,30.08,6.9
396,2022-04-05T17:00:00-03:00,21.26,30.14,6.91
400,2022-04-06T10:00:00-03:00,20.97,29.6,6.52
401,2022-04-06T11:00:00-03:00,21.06,29.3,6.59
402,2022-04-06T12:00:00-03:00,21.14,29.45,6.6
403,2022-04-06T13:00:00-03:00,21.18,30.12,6.57
404,2022-04-06T14:00:00-03:00,21.12,29.43,6.58
405,2022-04-06T15:00:00-03:00,21.12,29.97,6.57
406,2022-04-06T16:00:00-03:00,21.11,29.88,6.6
407,2022-04-06T17:00:00-03:00,21.15,30.02,6.62
411,2022-04-07T10:00:00-03:00,21.0,28.47,6.71
412,2022-04-07T11:00:00-03:00,20.93,28.54,6.68
413,2022-04-07T12:00:00-03:00,21.03,28.72,6.53
414,2022-04-07T13:00:00-03:00,21.07,28.97,6.51
415,2022-04-07T14:00:00-03:00,21.19,28.88,6.6
416,2022-04-07T15:00:00-03:00,21.29,29.22,6.6
417,2022-04-07T16:00:00-03:00,21.27,29.45,6.56
422,2022-04-08T10:00:00-03:00,21.23,28.88,6.1
423,2022-04-08T11:00:00-03:00,21.57,29.08,6.18
424,2022-04-08T12:00:00-03:00,21.42,28.95,6.18
425,2022-04-08T13:00:00-03:00,21.59,29.39,6.23
426,2022-04-08T14:00:00-03:00,21.45,28.81,6.17
427,2022-04-08T15:00:00-03:00,21.5,29.46,6.15
428,2022-04-08T16:00:00-03:00,21.41,29.46,6.12
429,2022-04-08T17:00:00-03:00,21.48,29.39,6.13
433,2022-04-11T10:00:00-03:00,21.52,28.72,6.09
